product_name,manufacturer
45MAHAQ18XA3 High Wall Heat Pump Ductless System,Carrier
37MAHAQ18A3 Outdoor Unit Heat Pump Ductless System,Carrier
DX-1 EF-1 Roof & Wall Exhaust,PennBarry
DX08QGP Roof & Wall Exhaust Fan,PennBarry
DX08D Roof Curb,PennBarry
PL10 - Steel,"Removable Plaque Face, Square Plaque,Krueger"
HFCP23 - Hard Ceiling Frame,"Adapts F23 to F22, Aluminum,Krueger"
F23 - LAY-IN T-BAR,Krueger
EGC5 - AL Eggcrate Grid with Aluminum Frame and Aluminum Core,Krueger
F23 1 Inch Filter Frame,Krueger
F23 - LAY-IN T-BAR 24X12,Krueger
F23 - LAY-IN T-BAR 24X24,Krueger
F22-SURFACE MNT,Krueger
5HCF23 Hard Ceiling Frame,Krueger
